"","partial.name","regex","full.name"
"370"," AFEP - Association Francaise des enterprise Privees","afep association francaise des enterprise privees",""
"371"," Eurocinema","eurocinema",""
"372"," Finnish Commerce Federation","finnish commerce federation",""
"373"," Vivendi Group","vivendi group",""
"374"," Canal+ Group","canal group",""
"375"," EHHA - European Holiday Homes Association","ehha european holiday homes association",""
"376"," City of Vienna","city of vienna",""
"377","Mozilla Corporation Registriernummer: 174457719063-67","mozilla corporation registriernummer 174457719063 67",""
"378"," Maud  SACQUET","maud sacquet",""
"379","Allied for Startups","allied for startups",""
"380","Deutscher Gewerkschaftsbund Registriernummer: 07595112423-87","deutscher gewerkschaftsbund registriernummer 07595112423 87",""
"381","Harvard University","harvard university",""
"382"," Service Controls and Digitalization Siemens Gas and Power","service controls and digitalization siemens gas and power",""
"383"," Center for Energy and the Environment","center for energy and the environment",""
"384"," Zurich University of Applied Sciences","zurich university of applied sciences",""
"385","Waleed Shahid","waleed shahid",""
"386"," Justice Democrates","justice democrates",""
"387","Sean Sweeney","sean sweeney",""
"388"," Director of International Program for Labor","director of international program for labor",""
"389"," Climate and Environment","climate and environment",""
"390","Brooklyn Grange initiative","brooklyn grange initiative",""
"391","Jeffrey King Chief","jeffrey king chief",""
"392"," Energy and Climate Programs Metropolitan Washington Council of Governments","energy and climate programs metropolitan washington council of governments",""
"393","Third Generation Environmentalism Ltd Registriernummer: 07783117686-61","third generation environmentalism ltd registriernummer 07783117686 61",""
"394","International Trade Union Confederation Registriernummer: 51806831589-68","international trade union confederation registriernummer 51806831589 68",""
"395","Congressman David N. Cicilline","congressman david n cicilline",""
"396","Ryan Anderson (Chief of Staff Congresswoman Rashida)","ryan anderson chief of staff congresswoman rashida",""
"397","Heinrich Böll Stiftung e.V. Registriernummer: 60404068097-81","heinrich böll stiftung e v registriernummer 60404068097 81",""
"398"," Sierra Club","sierra club",""
"399"," USA","usa",""
"400"," Greenpeace","greenpeace",""
"401","Bürger Europas e.V.","bürger europas e v",""
"402","Deutscher Gewerkschaftsbund (DGB)","deutscher gewerkschaftsbund dgb",""
"403","youth-led NGOs and climate strikers","youth led ngos and climate strikers",""
"404","European International Lesbian","european international lesbian",""
"405"," Gay","gay",""
"406"," Bisexual","bisexual",""
"407"," Trans and Intersex Association (ILGA-Europe)","trans and intersex association ilga europe",""
"408"," 11977456675-84","11977456675 84",""
"409","Etsy 671163933953-21","etsy 671163933953 21",""
"410","Naturschutzbund Deutschland e.V.","naturschutzbund deutschland e v",""
"411","Internationales Instituts für Management und ökonomische Bildung der Europa-Universität Flensburg","internationales instituts für management und ökonomische bildung der europa universität flensburg",""
"412","WoW e.V. - Human Rights Organization","wow e v human rights organization",""
"413","German Broadband Association (BREKO) 028570718529-43","german broadband association breko 028570718529 43",""
"414","Europa Union Schleswig-Holstein","europa union schleswig holstein",""
"415","Fridays for Future Flensburg","fridays for future flensburg",""
"416","Director European Policy","director european policy",""
"417"," Spotify","spotify",""
"418"," Brussels","brussels",""
"419","ALLRAIL","allrail",""
"420","Almorò Rubin de Cervin","almorò rubin de cervin",""
"421"," Director","director",""
"422"," International Affairs","international affairs",""
"423"," DG FISMA + Raphael Lemahieu","dg fisma raphael lemahieu",""
"424"," EU-Asia relations","eu asia relations",""
"425"," DG FISMA","dg fisma",""
"426"," EC","ec",""
"427","Alstom","alstom",""
"428","Alternative Investment Management Association (AIMA).","alternative investment management association aima",""
"429","Amadeu-Antonio Stiftung","amadeu antonio stiftung",""
"430","AMAZON","amazon",""
"431","Cercle des Amis du Foie Gras","cercle des amis du foie gras",""
"432","Amazon / James Waterworth","amazon james waterworth",""
"433","Entreprise Madinbio","entreprise madinbio",""
"434","Ambassade d'Egypte auprès de l'UE","ambassade d egypte auprès de l ue",""
"435","Ambassador Aigul Kuspan EU Embassy of Kazakhstan to the European Union","ambassador aigul kuspan eu embassy of kazakhstan to the european union",""
"436","Ambassador Australia","ambassador australia",""
"437","Ambassador Colombia","ambassador colombia",""
"438","Ambassador Hyoung-zhin KIm of the Rep. of Korea","ambassador hyoung zhin kim of the rep of korea",""
"439","Huawei","huawei",""
"440","Google (Public Policy - EU)","google public policy eu",""
"441","APRA (Association of Passenger Rights Advocates)","apra association of passenger rights advocates",""
"442","MED-EL","med el",""
"443","Rainbow Rose","rainbow rose",""
"444","Ambassador Iredland","ambassador iredland",""
"445","WWF","wwf",""
"446","Ambassador Jaya Ratnam","ambassador jaya ratnam",""
"447"," Embassy of Singapore to the European Union","embassy of singapore to the european union",""
"448","Mari-Liis Rüütsalu","mari liis rüütsalu",""
"449"," Merle Viirmaa","merle viirmaa",""
"450"," Igor Rõtov","igor rõtov",""
"451"," Andrus Raudsalu","andrus raudsalu",""
"452","Alexandra Shoichet","alexandra shoichet",""
"453"," Olivier Benoist","olivier benoist",""
"454","Ambassador Ming-Yen TSAI","ambassador ming yen tsai",""
"455"," Taipei Representative Office in the EU and Belgium","taipei representative office in the eu and belgium",""
"456"," Brüssel","brüssel",""
"457","Ambassador New Zealand","ambassador new zealand",""
"458","Ambassador New Zeeland","ambassador new zeeland",""
"459","Hannele Timonen","hannele timonen",""
"460"," Kreetta Simola","kreetta simola",""
"461"," Anna Liski","anna liski",""
"462"," Maija Rönkä","maija rönkä",""
"463","Simona Lipstaite","simona lipstaite",""
"464"," June Shin McCarthy","june shin mccarthy",""
"465"," Valentin Steinhauer","valentin steinhauer",""
"466"," Carlos Rodriguez Cocina","carlos rodriguez cocina",""
"467"," Attilio Zani","attilio zani",""
"468","Agnieszka Skorupinska","agnieszka skorupinska",""
"469"," Pedro Nascimento","pedro nascimento",""
"470"," Javier Villegas Burgos","javier villegas burgos",""
"471","Ambassador of Brazil","ambassador of brazil",""
"472","Bruce Gustafson","bruce gustafson",""
"473"," Karina Stan","karina stan",""
"474","Ambassador of Japan","ambassador of japan",""
"475","Ambassador of Senegal","ambassador of senegal",""
"476","Sandra Särav","sandra särav",""
"477","Ambassador of Viet Nam to the Kingdom of Belgium and the Grand Duchy of Luxembourg","ambassador of viet nam to the kingdom of belgium and the grand duchy of luxembourg",""
"478","Ermo Tikk","ermo tikk",""
"479"," Triin Kask","triin kask",""
"480"," Priit Salumaa","priit salumaa",""
"481"," Tõnu Runnel","tõnu runnel",""
"482"," Sten Tamkivi","sten tamkivi",""
"483"," Kaupo Voormansik","kaupo voormansik",""
"484"," Martin Vares","martin vares",""
"485"," Madis Lehtmets","madis lehtmets",""
"486","Ambassador Portugal","ambassador portugal",""
"487","Ambassador Schroeder","ambassador schroeder",""
"488","Anni Tooma","anni tooma",""
"489"," Helis Pokker","helis pokker",""
"490"," Vahur Valvere","vahur valvere",""
"491","Ambassador Soongu Yoon","ambassador soongu yoon",""
"492"," Embassy of the Republic of Korea to the Kingdom of Belgium and the European Union","embassy of the republic of korea to the kingdom of belgium and the european union",""
"493","Nitsan Manbar","nitsan manbar",""
"494"," Kate Brightwell","kate brightwell",""
"495","Ambassador Sri Lanka","ambassador sri lanka",""
"496","Quang-Minh Lepescheux","quang minh lepescheux",""
"497"," Casper Klynge","casper klynge",""
"498"," Antoine Kubiak","antoine kubiak",""
"499","Nathalie Laneret","nathalie laneret",""
"500"," Bojana Bellamy","bojana bellamy",""
"501","Brigit Carroll","brigit carroll",""
"502"," Magali Van Bulck","magali van bulck",""
"503","Stefania Moise","stefania moise",""
"504"," Ilya Bruggeman","ilya bruggeman",""
"505"," Ena Salihovic","ena salihovic",""
"506","Gerrit Steinfort","gerrit steinfort",""
"507"," Jean-Marc Leclerc","jean marc leclerc",""
"508","Marco Leto Barone","marco leto barone",""
"509"," Guido Lobrano","guido lobrano",""
"510"," Vivien Witt","vivien witt",""
"511","William Moreau","william moreau",""
"512","Christophe Leclercq","christophe leclercq",""
"513"," Marc Sundermann","marc sundermann",""
"514"," Nathalie Bargues","nathalie bargues",""
"515","Sophie Compagnon","sophie compagnon",""
"516"," Romain Lerallut","romain lerallut",""
"517"," Liva Ralaivola","liva ralaivola",""
"518","Hendrik Bourgeois","hendrik bourgeois",""
"519","Jan Gütter","jan gütter",""
"520","Claire Anne Valérie Dilé","claire anne valérie dilé",""
"521"," Ania Helseth","ania helseth",""
"522","Kirsty Ireland","kirsty ireland",""
"523"," Martin Nolan","martin nolan",""
"524","Jim Shaughnessy","jim shaughnessy",""
"525"," Jason Albert","jason albert",""
"526","Andreas Aktoudianakis","andreas aktoudianakis",""
"527"," Mackenzie Nelson","mackenzie nelson",""
"528","Peter Ekelund","peter ekelund",""
"529"," Jan Nilsson","jan nilsson",""
"530","Claire Dile","claire dile",""
"531","Joakim Reiter","joakim reiter",""
"532","Casper Klynge","casper klynge",""
"533"," Quang-Minh Lepescheux","quang minh lepescheux",""
"534","Jaymeen Patel","jaymeen patel",""
"535","Rosario Parise","rosario parise",""
"536","Carsten Hess","carsten hess",""
"537"," Antonia H. Garcia del Riego","antonia h garcia del riego",""
"538","Megan Ridderhof","megan ridderhof",""
"539","Hendrik Hoppenstedt MP","hendrik hoppenstedt mp",""
"540"," Andrea M.Schneider","andrea m schneider",""
"541"," Ulrike Krumsee-Budde","ulrike krumsee budde",""
"542"," Pia Wenningmann","pia wenningmann",""
"543","Daniel D´Amato","daniel d amato",""
"544"," Paul Astengo","paul astengo",""
"545"," Albert Isola MP","albert isola mp",""
"546"," Paul Patron","paul patron",""
"547","Siim Kuresoo","siim kuresoo",""
"548","Kazuo Kodama","kazuo kodama",""
"549"," Akihiko Sunami","akihiko sunami",""
"550","Iacob Gammeltoft","iacob gammeltoft",""
"551","Jeffrey He","jeffrey he",""
"552"," Mathias van Malderghem-Nagy","mathias van malderghem nagy",""
"553","Cameron Kerry","cameron kerry",""
"554","John Higgins","john higgins",""
"555","Kati Ruohomäki","kati ruohomäki",""
"556"," Karoliina Rasi","karoliina rasi",""
"557"," Petri Vuorio","petri vuorio",""
"558","Neil McMillan","neil mcmillan",""
"559"," Christian Verschueren","christian verschueren",""
"560","Liia Hänni","liia hänni",""
"561"," Jelizaveta Krenjova-Cepilova","jelizaveta krenjova cepilova",""
"562","Rene Summer","rene summer",""
"563"," Larisa Pircalabelu","larisa pircalabelu",""
"564","Christian Guttmann","christian guttmann",""
"565"," Petja Piilola","petja piilola",""
"566","Edward Haynes (AmCham EU)","edward haynes amcham eu",""
"567"," Aliki Foinikopoulou (Salesforce)","aliki foinikopoulou salesforce",""
"568"," Cate Nymann (Cisco)","cate nymann cisco",""
"569"," Claudia Selli (AT&T)","claudia selli at t",""
"570","Claire Broussaudier","claire broussaudier",""
"571"," Jean Paul Forceville","jean paul forceville",""
